,,,,,,,
EvqrShifted,N,E_large_1,E_large_2,E_large_3,E_small_1,E_small_2,E_small_3
m3,3,0.627719,2,6.372281,0.627719,2,6.372281
m4,10,4.455992,20.431729,67.840399,0.512543,0.55164,0.629808
m5,20,17.235222,81.223819,270.495189,0.503097,0.512479,0.528819
m6,30,38.53868,182.544889,608.253606,0.501373,0.505511,0.512543
m7,40,68.364136,324.394506,1081.115447,0.500772,0.503093,0.507004
m8,50,106.711318,506.772618,1689.080688,0.500494,0.501978,0.504468
m9,60,153.580161,729.679212,2432.149321,0.500343,0.501373,0.503097
m10,70,208.970642,993.114283,3310.321344,0.500252,0.501008,0.502273
m11,80,272.882751,1297.07783,4323.596758,0.500193,0.500772,0.501739
m12,90,345.316483,1641.569852,5471.97556,0.500152,0.50061,0.501373
m13,100,426.271836,2026.590348,6755.457752,0.500123,0.500494,0.501112
m14,120,613.747401,2918.216761,9727.732302,0.500086,0.500343,0.500772
m15,150,958.872886,4559.619934,15199.419543,0.500055,0.500219,0.500494
,,,,,,,
,,,,,,,
EvqrShifted,N,iter,runtime(s),iter_avg,,,
m3,3,17,7.60E-05,4.4706E-06,,,
m4,10,35,0.000616,1.7600E-05,,,
m5,20,67,0.01132,1.6896E-04,,,
m6,30,104,0.039096,3.7592E-04,,,
m7,40,133,0.079233,5.9574E-04,,,
m8,50,167,0.17786,1.0650E-03,,,
m9,60,209,0.386447,1.8490E-03,,,
m10,70,244,0.724597,2.9697E-03,,,
m11,80,277,1.13667,4.1035E-03,,,
m12,90,310,1.81915,5.8682E-03,,,
m13,100,346,2.72404,7.8729E-03,,,
m14,120,425,5.60207,1.3181E-02,,,
m15,150,489,12.2082,2.4966E-02,,,
,,,,,,,
,,,,,,,
,,,,,,,
Evqr,N,E_large_1,E_large_2,E_large_3,E_small_1,E_small_2,E_small_3
m3,3,0.627719,2,6.372281,0.627719,2,6.372281
m4,10,4.455992,20.431729,67.840399,0.512543,0.55164,0.629808
m5,20,17.235222,81.223819,270.495189,0.503097,0.512479,0.528819
m6,30,38.53868,182.544889,608.253606,0.501373,0.505511,0.512543
m7,40,68.364136,324.394506,1081.115447,0.500772,0.503093,0.507004
m8,50,106.711318,506.772618,1689.080688,0.500494,0.501978,0.504468
,,,,,,,
,,,,,,,
Evqr,N,iter,runtime(s),iter_avg,,,
m3,3,20,7.20E-05,3.6000E-06,,,
m4,10,249,0.005884,2.3631E-05,,,
m5,20,909,0.110081,1.2110E-04,,,
m6,30,1942,0.693329,3.5702E-04,,,
m7,40,3325,2.88519,8.6773E-04,,,
m8,50,5041,9.79014,1.9421E-03,,,
