V,v1,v2,Id1,Id2,Id3,Id4,Ir
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0105313635,0.0094686365,0.4393308634,-0.3330581657,-0.3330581657,0.4393308634,0.1062726976
0.04,0.0220933982,0.0179066018,0.9911561602,-0.5724765265,-0.5724765265,0.9911561602,0.4186796337
0.06,0.0346017431,0.0253982569,1.6560924394,-0.7357438214,-0.7357438214,1.6560924394,0.920348618
0.08,0.047945858,0.032054142,2.4309994858,-0.8418278786,-0.8418278786,2.4309994858,1.5891716072
0.1,0.0620127611,0.0379872389,3.3104730256,-0.9079207995,-0.9079207995,3.3104730256,2.4025522261
0.12,0.0767001142,0.0432998858,4.2876833654,-0.947660524,-0.947660524,4.2876833654,3.3400228414
0.14,0.0919201723,0.0480798277,5.3548871145,-0.9708526489,-0.9708526489,5.3548871145,4.3840344656
0.16,0.107599101,0.052400899,6.503872284,-0.9840520815,-0.9840520815,6.503872284,5.5198202025
0.18,0.1236748781,0.0563251219,7.7263819226,-0.9914063015,-0.9914063015,7.7263819226,6.7349756211
0.2,0.140095195,0.059904805,9.0144691532,-0.9954301584,-0.9954301584,9.0144691532,8.0190389948
0.22,0.1568157361,0.0631842639,10.360745035,-0.99759781,-0.99759781,10.360745035,9.3631472249
0.24,0.1737988278,0.0662011722,11.7585155049,-0.9987499482,-0.9987499482,11.7585155049,10.7597655567
0.26,0.1910123626,0.0689876374,13.2018277487,-0.999355238,-0.999355238,13.2018277487,12.2024725107
0.28,0.2084289211,0.0715710789,14.6854542542,-0.9996700261,-0.9996700261,14.6854542542,13.6857842281
0.3,0.2260250403,0.0739749597,16.2048403406,-0.9998322894,-0.9998322894,16.2048403406,15.2050080512
0.32,0.243780596,0.076219404,17.7560344767,-0.9999152815,-0.9999152815,17.7560344767,16.7561191952
0.34,0.2616782829,0.0783217171,19.3356140204,-0.999957438,-0.999957438,19.3356140204,18.3356565824
0.36,0.2797031749,0.0802968251,20.9406137043,-0.9999787215,-0.9999787215,20.9406137043,19.9406349828
0.38,0.2978423556,0.0821576444,22.5684605289,-0.9999894087,-0.9999894087,22.5684605289,21.5684711202
0.4,0.3160846085,0.0839153915,24.2169164522,-0.999994749,-0.999994749,24.2169164522,23.2169217031
0.42,0.3344201578,0.0855798422,25.8840289693,-0.999997406,-0.999997406,25.8840289693,24.8840315633
0.44,0.3528404515,0.0871595485,27.5680890248,-0.9999987227,-0.9999987227,27.5680890248,26.5680903021
0.46,0.3713379803,0.0886620197,29.2675954249,-0.9999993729,-0.9999993729,29.2675954249,28.267596052
0.48,0.3899061258,0.0900938742,30.9812248549,-0.999999693,-0.999999693,30.9812248549,29.9812251619
0.5,0.408539034,0.091460966,32.7078066486,-0.9999998501,-0.9999998501,32.7078066486,31.7078067985
0.52,0.4272315081,0.0927684919,34.4463015488,-0.9999999269,-0.9999999269,34.4463015488,33.4463016219
0.54,0.4459789192,0.0940210808,36.1957838005,-0.9999999645,-0.9999999645,36.1957838005,35.195783836
0.56,0.4647771302,0.0952228698,37.9554260192,-0.9999999828,-0.9999999828,37.9554260192,36.9554260365
0.58,0.4836224319,0.0963775681,39.7244863717,-0.9999999916,-0.9999999916,39.7244863717,38.7244863801
0.6,0.5025114884,0.0974885116,41.5022976807,-0.999999996,-0.999999996,41.5022976807,40.5022976848
0.62,0.5214412907,0.0985587093,43.2882581374,-0.999999998,-0.999999998,43.2882581374,42.2882581394
0.64,0.5404091168,0.0995908832,45.0818233571,-0.9999999991,-0.9999999991,45.0818233571,44.0818233581
