V,v1,v2,Id1,Id2,Id3,Id4,Ir,Td1,Td2,Td3,Td4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,300.0
0.01,0.0051333667,0.0048666333,0.2058406441,-0.1791673034,-0.1791673034,0.2058406441,0.0266733407,300.0020035019,300.0018394629,300.0018394629,300.0020035019
0.02,0.0105313342,0.0094686658,0.4393179467,-0.3330510987,-0.3330510987,0.4393179467,0.106266848,300.0083195096,300.0070149449,300.0070149449,300.0083195096
0.03,0.0161877284,0.0138122716,0.7009840318,-0.463438345,-0.463438345,0.7009840318,0.2375456868,300.0193643636,300.0150040281,300.0150040281,300.0193643636
0.04,0.0220929491,0.0179070509,0.9910283298,-0.572438514,-0.572438514,0.9910283298,0.4185898157,300.0354927895,300.0252937099,300.0252937099,300.0354927895
0.05,0.0282348353,0.0217651647,1.30934217,-0.6623751198,-0.6623751198,1.30934217,0.6469670502,300.0569960961,300.0374041048,300.0374041048,300.0569960961
0.06,0.0345996058,0.0254003942,1.6555835738,-0.7356624223,-0.7356624223,1.6555835738,0.9199211516,300.084104951,300.0509072596,300.0509072596,300.084104951
0.07,0.0411727242,0.0288272758,2.0292321083,-0.7946872735,-0.7946872735,2.0292321083,1.2345448348,300.1169944674,300.0654388798,300.0654388798,300.1169944674
0.08,0.0479395952,0.0320604048,2.4296303356,-0.8417113019,-0.8417113019,2.4296303356,1.5879190337,300.1557898643,300.0807025981,300.0807025981,300.1557898643
0.09,0.0548860601,0.0351139399,2.8560132885,-0.8788012738,-0.8788012738,2.8560132885,1.9772120147,300.2005717581,300.096467879,300.096467879,300.2005717581
0.1,0.0619987053,0.0380012947,3.3075296249,-0.9077885718,-0.9077885718,3.3075296249,2.399741053,300.2513808162,300.1125634322,300.1125634322,300.2513808162
0.11,0.069265021,0.040734979,3.7832582045,-0.9302540129,-0.9302540129,3.7832582045,2.8530041915,300.3082218873,300.1288681274,300.1288681274,300.3082218873
0.12,0.0766734541,0.0433265459,4.2822227955,-0.9475319778,-0.9475319778,4.2822227955,3.3346908178,300.3710678451,300.1453010992,300.1453010992,300.3710678451
0.13,0.0842133943,0.0457866057,4.8034063459,-0.960727495,-0.960727495,4.8034063459,3.8426788509,300.4398633452,300.1618122466,300.1618122466,300.4398633452
0.14,0.0918751225,0.0481248775,5.3457652214,-0.970740728,-0.970740728,5.3457652214,4.3750244934,300.5145285932,300.1783738465,300.1783738465,300.5145285932
0.15,0.099649743,0.050350257,5.9082431859,-0.9782945769,-0.9782945769,5.9082431859,4.929948609,300.5949631251,300.1949736064,300.1949736064,300.5949631251
0.16,0.1075291111,0.0524708889,6.4897846308,-0.9839624094,-0.9839624094,6.4897846308,5.5058222214,300.6810495366,300.2116092065,300.2116092065,300.6810495366
0.17,0.1155057625,0.0544942375,7.0893465505,-0.9881940468,-0.9881940468,7.0893465505,6.1011525037,300.772657069,300.2282842138,300.2282842138,300.772657069
0.18,0.1235728495,0.0564271505,7.7059088769,-0.9913389865,-0.9913389865,7.7059088769,6.7145698904,300.8696449606,300.2450051667,300.2450051667,300.8696449606
0.19,0.1317240826,0.0582759174,8.3384829615,-0.9936664468,-0.9936664468,8.3384829615,7.3448165148,300.9718654891,300.2617796022,300.2617796022,300.9718654891
0.2,0.1399536797,0.0600463203,8.9861181544,-0.9953822114,-0.9953822114,8.9861181544,7.9907359429,301.0791666576,300.2786148064,300.2786148064,301.0791666576
0.21,0.1482563204,0.0617436796,9.6479065618,-0.9966424869,-0.9966424869,9.6479065618,8.6512640749,301.1913945036,300.2955170957,300.2955170957,301.1913945036
0.22,0.1566271053,0.0633728947,10.3229861568,-0.9975651035,-0.9975651035,10.3229861568,9.3254210533,301.3083950301,300.3124914689,300.3124914689,301.3083950301
0.23,0.1650615201,0.0649384799,11.0105424638,-0.9982384373,-0.9982384373,11.0105424638,10.0123040265,301.4300157802,300.3295415078,300.3295415078,301.4300157802
0.24,0.1735554032,0.0664445968,11.7098090629,-0.9987284302,-0.9987284302,11.7098090629,10.7110806327,301.5561070844,300.3466694307,300.3466694307,301.5561070844
0.25,0.1821049155,0.0678950845,12.4200671511,-0.9990840513,-0.9990840513,12.4200671511,11.4209830999,301.6865230175,300.3638762335,300.3638762335,301.6865230175
0.26,0.1907065144,0.0692934856,13.1406443836,-0.9993415082,-0.9993415082,13.1406443836,12.1413028753,301.8211221053,300.3811618714,300.3811618714,301.8211221053
0.27,0.1993569286,0.0706430714,13.8709131868,-0.9995274665,-0.9995274665,13.8709131868,12.8713857203,301.9597678212,300.3985254516,300.3985254516,301.9597678212
0.28,0.2080531361,0.0719468639,14.6102887105,-0.9996614923,-0.9996614923,14.6102887105,13.6106272181,302.1023289071,300.415965417,300.415965417,302.1023289071
0.29,0.2167923433,0.0732076567,15.3582265501,-0.9997578943,-0.9997578943,15.3582265501,14.3584686557,302.2486795543,300.4334797133,300.4334797133,302.2486795543
0.3,0.2255719662,0.0744280338,16.1142203486,-0.9998271039,-0.9998271039,16.1142203486,15.1143932446,302.3986994728,300.4510659314,300.4510659314,302.3986994728
0.31,0.2343896133,0.0756103867,16.8777993582,-0.9998767039,-0.9998767039,16.8777993582,15.8779226543,302.5522738732,300.4687214279,300.4687214279,302.5522738732
