x y
0 -0.01806
0.01 2.683
0.02 -2.646
0.03 -0.01806
0.04 2.683
0.05 -2.646
0.06 -0.01806
0.07 2.683
0.08 -2.646
0.09 -0.01806
0.1 3.997
0.11 -7.603
0.12 -5.347
0.13 -0.2497
0.14 8.348
0.15 19.2
0.16 33.1
0.17 55.83
0.18 98.2
0.19 108.4
0.2 89.95
0.21 38.21
0.22 -19
0.23 -67.81
0.24 -100.7
0.25 -119
0.26 -135.5
0.27 -145.3
0.28 -141.8
0.29 -133.4
0.3 -111.9
0.31 -85.44
0.32 -68.34
0.33 -41.58
0.34 -26.48
0.35 -15.69
0.36 -6.684
0.37 -4.758
0.38 -2.771
0.39 0.7224
0.4 -0.6604
0.41 -0.6003
0.42 1.801
0.43 -0.1052
0.44 -0.1583
0.45 2.16
0.46 0.1145
0.47 -0.1925
0.48 2.009
